Instances,feature_ego_brake,feature_ego_speed,source,feature_scenarioTrafficLightDemand,feature_totalNPCs,feature_totalPedestrians,feature_isPedestrianScenario,feature_totalStaticObstacles,feature_totalRoadUsers,feature_obstaclesMinimumDistance,feature_typeObstacleHavingMinimumDistance,feature_speedObstacleWithMinimumDistance,feature_distanceObstacleWithMinimumDistance,feature_volumeObstacleWithMinimumDistance,feature_obstaclesMaximumSpeed,feature_typeObstacleHavingMaximumSpeed,feature_distanceObstacleWithMaximumSpeed, feature_speedObstacleWithMaximumSpeed,feature_volumeObstacleWithMaximumSpeed,feature_obstaclesMaximumVolume,feature_typeObstacleHavingMaximumVolume,algo_collision
scenario58978,69.37,0,ChangeLaneToRight,3,3,0,0,0,3,2.26,1,1,2.26,12.77,4,1,29.12,4,118.76,118.76,1,1
scenario58979,69.53,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,13.3,4,1,34.31,4,94.52,94.52,1,1
scenario58980,69.42,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,12.97,4,1,36.35,4,62.91,62.91,1,1
scenario58987,69.85,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,13.58,1,1,2.25,1,13.58,13.58,1,1
scenario58988,69.53,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,13.44,2,1,28.14,2,7.44,13.44,1,1
scenario58989,69.93,0,ChangeLaneToRight,3,3,0,0,0,3,2.25,1,1,2.25,14.44,3,1,30.1,3,3.85,14.44,1,1
scenario59070,0,0.02,SpeedUp,3,3,0,0,0,3,22.03,1,4,22.03,70.25,4,1,22.03,4,70.25,70.25,1,0
scenario59217,0,10.03,SpeedUp,3,3,0,0,0,3,12.2,1,2,12.2,7.07,3,1,24.26,3,1.31,7.07,1,0
scenario59218,21.23,10.09,SpeedCut,3,3,0,0,0,3,11.26,1,2,11.26,9.48,4,1,26.64,4,1.18,9.48,1,0
scenario59219,0,9.86,SpeedUp,3,3,0,0,0,3,7.99,1,2,7.99,9.65,4,1,30.35,4,1.46,9.65,1,0
scenario59220,29.76,9.6,EmergencyBrake,3,3,0,0,0,3,6.56,1,2,6.56,11.99,4,1,32.81,4,1.52,11.99,1,0
scenario59269,69.96,0,TurnRight,3,3,0,0,0,3,4.01,1,1,4.01,13.01,2,1,21.67,2,5.73,13.01,1,0
scenario59272,69.95,0,TurnRight,3,3,0,0,0,3,4.01,1,1,4.01,13.05,3,1,27.08,3,2.54,13.05,1,0
scenario59273,69.96,0,TurnRight,3,3,0,0,0,3,4,1,1,4,13.04,3,1,29.23,3,2.44,13.04,1,0
scenario59276,69.97,0,TurnRight,3,3,0,0,0,3,4.02,1,1,4.02,13.13,2,1,27.66,2,1.42,13.13,1,0
scenario59306,69,0.01,Cruise,2,3,0,0,0,3,21.32,1,1,21.32,49.95,3,1,25.58,3,6.82,143.69,1,0
scenario59793,0,7.33,SpeedUp,3,3,0,0,0,3,16.2,1,2,16.2,5.07,2,1,16.2,2,5.07,16.88,1,0
scenario59801,0,4.89,ChangeLaneToLeft,3,3,0,0,0,3,14.52,1,3,14.52,8.71,3,1,14.52,3,8.71,8.71,1,0
scenario59802,14.5,5.01,SpeedCut,3,3,0,0,0,3,15.19,1,3,15.19,8.62,3,1,15.19,3,8.62,8.62,1,0
scenario59803,0,4.92,ChangeLaneToLeft,3,3,0,0,0,3,15.8,1,2,15.8,7.37,3,1,18.25,3,4.03,7.37,1,0
scenario59804,16.85,4.83,SpeedCut,3,3,0,0,0,3,17.29,1,2,17.29,7.16,3,1,19.6,3,5.41,7.16,1,0
scenario59805,37.97,4.83,SpeedCut,3,3,0,0,0,3,17.77,1,3,17.77,7.34,3,1,17.77,3,7.34,7.34,1,0
scenario59806,17.41,4.73,SpeedCut,3,3,0,0,0,3,17.74,1,3,17.74,6.83,3,1,17.74,3,6.83,6.83,1,0
scenario59807,20.59,4.54,ChangeLaneToLeft,3,3,0,0,0,3,16.87,1,4,16.87,7.53,4,1,16.87,4,7.53,7.53,1,0
scenario59808,20.7,4.2,ChangeLaneToLeft,3,3,0,0,0,3,17.24,1,4,17.24,8.11,4,1,17.24,4,8.11,8.11,1,0
scenario59809,28.65,3.96,SpeedCut,3,3,0,0,0,3,17.3,1,3,17.3,0.82,3,1,17.3,3,0.82,8.4,1,0
scenario59810,14.5,1.02,SpeedCut,3,3,0,0,0,3,13.98,1,1,13.98,4.91,2,1,14.25,2,8.03,8.03,1,0
scenario59812,14.5,1.33,SpeedCut,3,3,0,0,0,3,13.35,1,1,13.35,6.96,3,1,26.05,3,6.79,8.36,1,0
scenario59832,0,3.75,SpeedUp,3,3,0,0,0,3,20.91,1,3,20.91,0.46,3,1,23.02,3,4.49,4.49,1,0
scenario59853,69.99,0,Stop,1,2,1,1,0,3,4.9,2,2,4.9,0.15,2,1,6.42,2,6.4,6.4,1,1
scenario59854,70,0,Stop,2,2,1,1,0,3,4.82,2,2,4.82,0.29,2,1,6.69,2,6.34,6.34,1,1
scenario59855,70,0,Stop,1,2,1,1,0,3,4.28,2,2,4.28,0.23,2,1,7.21,2,7,7,1,1
scenario39,14.73,0.5,SpeedCut,0,3,1,1,0,4,3.65,2,1,3.65,0.18,1,1,21.5,1,59.58,59.58,1,1
scenario330,20.64,0.14,SpeedCut,0,1,3,1,0,4,3.93,2,1,3.93,0.25,1,1,34.35,1,0,0.62,2,1
scenario450,49.36,0,SpeedCut,1,3,1,1,0,4,3.82,2,1,3.82,0.12,2,1,12.58,2,3.7,41.91,1,1
scenario456,62.39,0.09,EmergencyBrake,1,3,1,1,0,4,3.91,2,1,3.91,0.17,2,1,4,2,5.3,5.3,1,1
scenario457,20.48,0.11,SpeedCut,3,3,1,1,0,4,3.86,2,1,3.86,0.14,1,1,3.97,1,5.1,5.1,1,1
scenario458,43.29,0.02,EmergencyBrake,1,3,1,1,0,4,3.83,1,1,3.83,6.13,1,1,3.83,1,6.13,6.13,1,1
scenario459,49.2,0,SpeedCut,1,3,1,1,0,4,3.84,2,1,3.84,0.14,1,1,3.93,1,5.49,5.49,1,1
scenario460,49.37,0,SpeedCut,1,4,0,0,0,4,3.83,1,1,3.83,5.72,2,1,5.99,2,14.93,14.93,1,1
scenario496,14.5,0.59,SpeedCut,0,1,3,1,0,4,3.82,2,1,3.82,0.2,1,1,22.83,1,4.92,4.92,1,1
scenario497,14.5,0.39,SpeedCut,0,1,3,1,0,4,3.88,2,2,3.88,0.22,2,2,3.88,2,0.22,5.93,1,1
scenario587,16.8,1.07,SpeedCut,0,2,2,1,0,4,3.61,2,2,3.61,0.2,2,2,3.61,2,0.2,8.53,1,1
scenario786,69.99,0,Stop,1,2,2,1,0,4,2.84,1,1,2.84,11.32,1,1,2.84,1,11.32,11.32,1,1
scenario787,69.99,0,Stop,3,3,1,1,0,4,2.82,1,1,2.82,11.17,1,1,2.82,1,11.17,11.17,1,1
scenario915,0,0.01,SpeedCut,0,0,4,1,0,4,3.87,2,1,3.87,0.2,1,2,4.16,1,0.39,0.39,2,1
scenario916,35.55,0,SpeedCut,0,0,4,1,0,4,3.9,2,1,3.9,0.23,1,2,4.29,1,0.64,0.64,2,1
scenario917,21.44,0.03,SpeedCut,0,0,4,1,0,4,3.91,2,1,3.91,0.2,1,2,4.28,1,0.66,1.15,2,1
scenario961,70,0,ChangeLaneToLeft,0,1,3,1,0,4,4.6,2,1,4.6,0.62,1,1,23.17,1,16.92,16.92,1,1
scenario962,70,0,ChangeLaneToLeft,0,1,3,1,0,4,4.6,2,1,4.6,0.62,1,1,23.1,1,21.53,21.53,1,1
scenario1086,50,0,SpeedCut,0,0,4,1,0,4,3.92,2,1,3.92,0.22,1,2,4.94,1,0.5,0.5,2,1
scenario1425,66.97,0.02,EmergencyBrake,2,3,1,1,0,4,5.45,2,1,5.45,0.08,4,1,8.28,4,6.12,6.12,1,1
scenario1766,0,0.16,SpeedUp,3,3,1,1,0,4,3.86,2,1,3.86,0.05,1,1,12.17,1,5.73,5.73,1,1
scenario2038,0,0.01,SpeedUp,3,4,0,0,0,4,13.92,1,2,13.92,8.76,2,1,13.92,2,8.76,88.64,1,0
scenario2039,58.04,0.08,EmergencyBrake,3,4,0,0,0,4,15.55,1,2,15.55,4.79,2,1,15.55,2,4.79,71.22,1,0
scenario2040,0,0,SpeedUp,3,4,0,0,0,4,13.7,1,2,13.7,8.38,2,1,13.7,2,8.38,70.51,1,0
scenario2041,54.29,0.11,EmergencyBrake,3,4,0,0,0,4,15.6,1,3,15.6,5.23,3,1,15.6,3,5.23,70.19,1,0
scenario2265,30.94,1.69,Cruise,1,4,0,0,0,4,5.81,1,2,5.81,5.23,2,1,5.81,2,5.23,8.72,1,1
scenario2523,0,0,TurnRight,3,4,0,0,0,4,5.63,1,1,5.63,10.37,3,1,43.19,3,0,10.37,1,1
scenario2539,0,0,TurnRight,3,4,0,0,0,4,5.62,1,1,5.62,10.12,3,1,41.64,3,0.02,10.12,1,1
scenario2540,0,0,TurnRight,3,4,0,0,0,4,5.62,1,1,5.62,10,2,1,24.1,2,0.37,10,1,1
scenario2547,0,0,TurnRight,3,4,0,0,0,4,5.61,1,1,5.61,10.58,2,1,21.97,2,4.71,10.58,1,1
scenario2548,0,0,TurnRight,3,4,0,0,0,4,5.62,1,1,5.62,10.06,2,1,23.03,2,1.56,10.06,1,1
scenario2555,0,0,TurnRight,3,4,0,0,0,4,5.62,1,1,5.62,10.25,1,1,5.62,1,10.25,10.25,1,1
scenario2556,0,0,TurnRight,3,4,0,0,0,4,5.63,1,1,5.63,9.91,1,1,5.63,1,9.91,9.91,1,1
scenario2557,0,0,TurnRight,3,4,0,0,0,4,5.62,1,1,5.62,9.9,1,1,5.62,1,9.9,9.9,1,1
scenario2558,0,0,TurnRight,3,4,0,0,0,4,5.62,1,1,5.62,9.89,1,1,5.62,1,9.89,9.89,1,1
scenario2559,50,0,SpeedCut,3,4,0,0,0,4,5.62,1,1,5.62,10.09,1,1,5.62,1,10.09,10.09,1,1
scenario2560,0,0,TurnRight,3,4,0,0,0,4,5.62,1,1,5.62,10.06,1,1,5.62,1,10.06,10.06,1,1
scenario2701,0,0,SpeedUp,0,3,1,1,0,4,6.07,1,1,6.07,14.04,3,1,44,3,3.48,14.04,1,1
scenario3147,19.09,1.17,SpeedCut,3,4,0,0,0,4,9.05,1,1,9.05,4.79,2,1,15.66,2,5.1,5.1,1,0
scenario3148,32.8,0,SpeedCut,3,4,0,0,0,4,6.73,1,1,6.73,7.15,2,1,9.37,2,5.82,22.47,1,0
scenario3149,0,0.84,SpeedUp,3,4,0,0,0,4,6.99,1,1,6.99,6.85,2,1,12.12,2,0.75,8.23,1,0
scenario3151,14.5,0.29,SpeedCut,3,4,0,0,0,4,6.96,1,2,6.96,6.32,2,1,16.58,2,4.05,6.68,1,0
scenario3152,50.26,0.14,EmergencyBrake,3,4,0,0,0,4,6.73,1,2,6.73,6.18,2,1,21.2,2,8.46,8.46,1,0
scenario3158,14.5,0.37,SpeedCut,1,4,0,0,0,4,3.85,1,1,3.85,6.27,2,1,20.64,2,6.7,6.7,1,1
scenario3161,31.03,0.07,SpeedCut,1,4,0,0,0,4,3.84,1,1,3.84,6.23,2,1,28.96,2,5.98,13.3,1,1
scenario3393,47.17,0,SpeedCut,1,3,1,1,0,4,4.44,1,1,4.44,11.98,2,1,12.6,2,1.59,11.98,1,1
scenario3394,47.24,0,SpeedCut,1,3,1,1,0,4,4.42,1,1,4.42,11.66,1,1,17.16,1,0.13,11.66,1,1
scenario3758,26.43,4.53,Cruise,3,4,0,0,0,4,7.63,1,1,7.63,4.6,1,1,11.81,1,6.47,6.47,1,0
scenario4161,21.91,3.68,ChangeLaneToLeft,3,4,0,0,0,4,8.42,1,1,8.42,6.07,1,1,8.42,1,6.07,6.42,1,0
scenario4162,40.06,3.02,EmergencyBrake,3,4,0,0,0,4,7.64,1,1,7.64,6.26,1,1,7.64,1,6.26,6.78,1,0
scenario4163,36.28,2.24,EmergencyBrake,3,4,0,0,0,4,7.03,1,1,7.03,6.46,1,1,7.03,1,6.46,7.22,1,0
scenario4164,27.6,1.54,ChangeLaneToLeft,3,4,0,0,0,4,6.68,1,1,6.68,6.95,1,1,6.68,1,6.95,7.32,1,0
scenario4165,16.74,0.91,SpeedCut,3,4,0,0,0,4,6.41,1,1,6.41,7.07,1,1,6.41,1,7.07,7.07,1,0
scenario4166,16.21,0.74,SpeedCut,3,4,0,0,0,4,6.25,1,1,6.25,6.75,1,1,6.25,1,6.75,7.54,1,0
scenario4167,41.74,0.26,EmergencyBrake,3,4,0,0,0,4,6.2,1,1,6.2,6.8,1,1,6.2,1,6.8,7.37,1,0
scenario4168,70,0,ChangeLaneToLeft,3,4,0,0,0,4,6.2,1,1,6.2,6.65,1,1,6.2,1,6.65,7.03,1,0
scenario4544,0,8.39,SpeedUp,1,4,0,0,0,4,6.97,1,1,6.97,5.77,4,1,8.31,4,6.37,6.37,1,1
scenario4573,28.38,7.68,Cruise,3,4,0,0,0,4,6.48,1,2,6.48,8.39,3,1,10.45,3,9.68,9.68,1,0
scenario4574,21.13,6.91,Cruise,3,4,0,0,0,4,6.17,1,2,6.17,9,3,1,10.33,3,8.99,9,1,1
scenario4576,0,0.22,SpeedUp,3,4,0,0,0,4,4.7,1,1,4.7,4.2,3,1,8.88,3,9.32,9.32,1,0
scenario4578,14.5,0.49,SpeedCut,3,4,0,0,0,4,4.63,1,1,4.63,4.9,3,1,8.94,3,6.35,6.35,1,0
scenario4579,14.5,0.39,SpeedCut,3,4,0,0,0,4,4.65,1,1,4.65,4.18,2,1,9.92,2,8.8,8.8,1,0
scenario4580,14.5,0.21,SpeedCut,3,4,0,0,0,4,4.73,1,1,4.73,3.99,2,1,10.83,2,7.69,7.69,1,0
