feature_direct_distance,feature_full_road_diversity,feature_max_angle,feature_max_pivot_off,feature_mean_angle,feature_mean_pivot_off,feature_mean_road_diversity,feature_median_angle,feature_median_pivot_off,feature_min_angle,feature_min_pivot_off,feature_num_r_turns,feature_num_straights,feature_road_distance,algo_safety,feature_std_angle,feature_std_pivot_off,feature_total_angle,Instances
32.24009975,236.3911037,2.934158047,168.6053702,-27.15735003,46.31498986,26.26567819,-10.93346011,27.90667507,-81.73922496,0,8,1,171.1551181,1,27.86073863,49.04179826,-244.4161503,C:\Users\Documents\SDC-Scissors\tests\01282_test.json
125.0224384,103.7692372,40.6621159,83.31764027,0.848036898,36.12692236,12.97115464,-0.887574196,47.38186452,-29.62476553,0,3,3,140.2728599,0,19.77789317,32.09069723,6.784295185,C:\Users\Documents\SDC-Scissors\tests\01281_test.json
172.9132831,101.0279756,37.16404515,74.37059169,5.54056911,34.97194106,11.22533062,3.567109281,40.99216511,-27.77504696,0,2,3,180.4399064,1,19.24984488,29.39401795,49.86512199,C:\Users\Documents\SDC-Scissors\tests\01280_test.json
57.78097825,1067.252357,-34.65226031,39.2471186,-71.65191885,30.49706663,355.7507856,-54.42987857,30.24093941,-125.8736177,22.00314187,3,0,130.6401153,1,47.98732137,8.624841114,-214.9557565,C:\Users\Documents\SDC-Scissors\tests\01279_test.json
125.142377,30.18857378,11.94940689,128.9479375,-26.00383953,30.91926777,2.515714481,1.948403938,0.685345391,-351.7028358,0,2,6,210.3445726,0,102.707377,42.9527703,-312.0460743,C:\Users\Documents\SDC-Scissors\tests\01278_test.json
104.8246028,620.7423285,72.21213888,55.03166645,-8.341312606,24.83143956,103.4570547,-8.678989003,27.53845593,-63.33269736,0,3,2,150.7805855,1,46.32519938,22.01162168,-50.04787564,C:\Users\Documents\SDC-Scissors\tests\01277_test.json
71.6407558,719.5490536,14.40844768,201.5823594,-20.29581925,60.18542168,79.94989484,-7.869418968,54.72629393,-124.4018335,0,5,1,230.7236987,1,42.95737875,56.60115391,-182.6623732,C:\Users\Documents\SDC-Scissors\tests\01276_test.json
116.3381447,312.2873157,30.73675646,114.4755345,-43.63840272,36.30017974,39.03591446,5.626792147,32.93418392,-331.5954385,0,2,2,170.587361,0,120.6292002,38.89070262,-349.1072218,C:\Users\Documents\SDC-Scissors\tests\01275_test.json
156.7646843,122.6051738,37.21302272,173.576895,5.496374142,86.02637935,15.32564672,-0.10087605,65.2507245,-22.64416843,35.20061162,4,0,170.3621892,0,20.11151529,54.08339405,43.97099313,C:\Users\Documents\SDC-Scissors\tests\01274_test.json
105.0291281,364.3014291,351.2946007,295.8822044,19.97816454,56.12002367,33.11831174,0,38.79696298,-129.2516127,0,4,3,231.059445,1,116.8617907,86.41580016,219.75981,C:\Users\Documents\SDC-Scissors\tests\01273_test.json
64.2627422,260.9645939,5.206234838,227.2831053,-29.86659875,74.60775105,43.49409899,-15.24335989,41.52003618,-80.69329602,24.13096991,5,0,130.7116967,1,35.49924637,78.47675442,-179.1995925,C:\Users\Documents\SDC-Scissors\tests\01272_test.json
44.23629294,72.25819645,30.72182966,90.06586218,-26.34785286,33.48489844,8.028688494,10.18082568,30.55429143,-337.1176891,0,1,2,140.6418267,0,116.8615986,31.51386246,-237.1306757,C:\Users\Documents\SDC-Scissors\tests\01271_test.json
80.97694369,141.7312758,51.6159696,139.2981927,14.8531807,60.64047174,12.88466144,10.38638323,67.01856222,-6.341348799,0,1,1,210.7432593,0,16.61675278,37.37313655,163.3849877,C:\Users\Documents\SDC-Scissors\tests\01270_test.json
97.60594294,70.00138166,33.82932545,213.4155812,9.237515626,57.99972527,6.363761969,8.879401857,44.01404282,-3.500832206,0,0,3,170.5273199,0,9.814184212,62.15722387,101.6126719,C:\Users\Documents\SDC-Scissors\tests\01269_test.json
119.7071497,456.9903929,41.37350362,76.65931831,-14.78323932,34.3507121,65.28434185,-6.762335995,33.41243795,-91.68890269,0,4,1,150.7957204,1,42.89108197,22.37957043,-103.4826752,C:\Users\Documents\SDC-Scissors\tests\01268_test.json
112.5183544,166.5022628,24.3372165,91.87455529,-2.893573959,38.52083325,13.87518857,5.190384769,40.72611695,-55.1369988,0,3,3,221.0078834,1,23.3393274,28.23244118,-34.72288751,C:\Users\Documents\SDC-Scissors\tests\01267_test.json
161.3673998,148.3477643,47.88520917,210.8103984,1.000164259,45.68616874,12.36231369,0.120251555,40.03828766,-54.2600542,0,4,4,210.7148074,1,23.6637089,57.87350886,12.0019711,C:\Users\Documents\SDC-Scissors\tests\01266_test.json
104.6853653,357.7461287,50.76934489,196.3499073,-3.888547861,57.59942162,32.52237534,1.251855322,36.95266852,-107.6733336,0,3,3,220.83553,1,38.11903152,61.6908832,-42.77402648,C:\Users\Documents\SDC-Scissors\tests\01265_test.json
167.0441596,249.9521538,43.21697115,276.4505048,-5.134971512,54.01821612,27.77246153,-4.99404769,31.93365314,-65.26430932,0,4,3,200.725202,1,28.32146341,86.84533209,-46.21474361,C:\Users\Documents\SDC-Scissors\tests\01264_test.json
99.92885948,66.85575036,21.42023846,106.2769835,-31.09813285,36.02908797,7.428416707,-0.743998623,36.82589381,-314.7890741,0,3,2,150.634968,1,107.0168497,35.49988968,-279.8831957,C:\Users\Documents\SDC-Scissors\tests\01263_test.json
52.79873427,240.8555206,89.83954712,49.80803468,20.73959734,24.86902746,30.10694008,8.559735272,28.3942155,-13.31832065,0,2,2,140.8813985,1,36.10939525,17.52367055,165.9167787,C:\Users\Documents\SDC-Scissors\tests\01262_test.json
161.8930832,79.19662307,12.06962961,148.0457363,-5.602389971,44.31888813,6.599718589,-3.586481523,38.20383204,-41.14572632,0,5,4,200.683155,1,14.66718911,44.5527174,-67.22867965,C:\Users\Documents\SDC-Scissors\tests\01261_test.json
5.2853812,390.4019523,89.94318872,40.05173466,-10.27174508,23.79729058,55.77170747,13.06033247,26.26039328,-251.8322626,0,1,1,141.248442,0,110.8750534,14.78272232,-71.90221556,C:\Users\Documents\SDC-Scissors\tests\01260_test.json
176.0280761,150.9986896,42.58734566,79.83329089,-5.020959913,36.54116424,11.61528382,-6.336372754,38.1264483,-39.80324553,0,7,4,220.7197686,1,20.58893372,29.59685409,-65.27247887,C:\Users\Documents\SDC-Scissors\tests\01259_test.json
71.43907045,158.6132377,64.84194948,100.5892328,5.368953888,44.56913126,10.57421584,8.045899531,42.40925462,-60.48135431,0,3,2,221.3890915,1,25.07827936,29.68033908,80.53430832,C:\Users\Documents\SDC-Scissors\tests\01258_test.json
46.60701478,381.2112977,68.20162687,197.9078461,20.136783,62.97942565,63.53521628,16.34891786,36.82173723,-32.01607414,28.7575759,1,0,160.6924474,1,34.14100706,66.53774989,120.820698,C:\Users\Documents\SDC-Scissors\tests\01257_test.json
108.3626139,54.46783909,26.37438934,74.10319781,-0.694525792,37.27495678,6.808479886,-1.802979476,40.59281009,-28.75658018,0,4,2,130.3292189,1,17.8914428,26.51443412,-5.556206334,C:\Users\Documents\SDC-Scissors\tests\01256_test.json
182.7261251,113.1021008,26.02122727,257.9631829,-33.12269285,47.09965741,12.56690009,-1.094825357,0,-322.6937817,0,2,5,200.2644379,0,109.0805452,87.4819601,-298.1042357,C:\Users\Documents\SDC-Scissors\tests\01255_test.json
113.3417711,69.05890082,356.5332994,84.18336821,46.40381237,32.3213693,7.673211202,6.136177174,33.3938806,-13.43879263,0,2,2,130.5422498,1,117.8028242,30.62086954,417.6343113,C:\Users\Documents\SDC-Scissors\tests\01254_test.json
92.6137207,51.75833974,20.70345588,153.3419796,-33.88844252,57.00786691,5.750926638,5.35846688,42.72705926,-343.0402374,0,3,1,150.586926,0,116.7921595,52.34904246,-304.9959827,C:\Users\Documents\SDC-Scissors\tests\01253_test.json
170.5733176,392.3668644,348.2758852,94.38283535,9.237236375,34.97812174,32.6972387,-1.079031111,21.34372227,-297.9243662,0,4,4,220.7885147,1,139.7478385,38.94143325,110.8468365,C:\Users\Documents\SDC-Scissors\tests\01252_test.json
47.16623683,559.6779768,315.8081714,63.55112945,19.89106951,27.28339616,79.95399668,-10.65327513,31.0201214,-93.42943367,0,4,2,180.6534471,1,134.4358388,26.42865774,139.2374866,C:\Users\Documents\SDC-Scissors\tests\01251_test.json
91.63076643,65.5197124,16.52184471,82.41144355,2.107869854,45.53303361,8.189964051,12.07306042,38.27732048,-39.64811917,0,2,1,130.4924722,0,20.16861913,28.83586521,16.86295884,C:\Users\Documents\SDC-Scissors\tests\01250_test.json
131.3726662,36.03517866,18.83515245,126.9563029,-37.01718419,47.08177847,4.00390874,0.759187971,33.15963222,-348.7578215,0,4,2,160.3783344,1,117.4062156,47.19878655,-333.1546577,C:\Users\Documents\SDC-Scissors\tests\01249_test.json
150.011963,321.8578185,79.13844734,208.4490601,3.730074669,73.41582517,35.76197983,6.487957071,63.42928956,-54.94976304,26.3693391,3,0,210.7451524,1,37.29705214,54.24800581,33.57067202,C:\Users\Documents\SDC-Scissors\tests\01248_test.json
39.71716067,316.8767059,71.42871447,87.34118496,-14.83492951,35.36454099,28.80697327,6.407885118,32.45084178,-344.972798,0,2,3,230.9519749,0,112.3612492,33.78562857,-163.1842246,C:\Users\Documents\SDC-Scissors\tests\01247_test.json
186.569743,142.2994971,34.54894441,180.5579341,-1.761058591,31.44584869,12.93631792,-2.139747935,0,-15.8816132,0,4,6,220.6307627,1,13.29334448,53.56227131,-19.37164451,C:\Users\Documents\SDC-Scissors\tests\01246_test.json
147.5020433,57.4450863,15.15780527,151.0043154,-35.26710644,53.61860791,6.382787367,2.618893899,64.24875096,-346.482217,0,2,3,170.1597134,0,116.9594338,56.12927609,-317.403958,C:\Users\Documents\SDC-Scissors\tests\01245_test.json
96.21001445,52.87185848,15.98161328,167.1627554,-35.12444573,45.34072091,5.874650942,3.387677239,29.69001382,-345.514292,0,3,2,130.4504195,1,116.9121885,53.49291001,-316.1200115,C:\Users\Documents\SDC-Scissors\tests\01244_test.json
21.14196796,627.9649807,48.45539736,62.16684876,-12.56956662,31.30605131,89.70928295,12.52519672,33.16783694,-218.6118348,0,1,1,160.9264044,0,92.65718917,19.8718591,-87.98696633,C:\Users\Documents\SDC-Scissors\tests\01243_test.json
98.12514616,265.6269689,54.88449482,82.31624958,-9.133195132,40.27048421,37.94670985,-13.77746012,37.59753702,-45.89534258,0,5,1,150.6788834,1,31.94076814,28.0984126,-63.93236593,C:\Users\Documents\SDC-Scissors\tests\01242_test.json
19.12264764,134.999117,46.21692172,183.1849874,12.96082374,56.69324042,12.272647,10.03671741,45.0896815,-11.13984743,0,1,2,200.7810365,0,16.36581965,54.64502773,142.5690612,C:\Users\Documents\SDC-Scissors\tests\01241_test.json
123.9834759,274.8464595,289.5869966,83.61024219,32.28284857,25.95162409,24.98604177,0.485715737,8.733086826,-6.63923943,0,2,5,220.6964525,1,87.02969726,31.95345764,355.1113343,C:\Users\Documents\SDC-Scissors\tests\01240_test.json
47.8622397,1207.375544,93.68095947,54.59871386,-18.32690381,28.61016752,172.4822205,0,37.56594882,-212.873724,0,3,2,180.8554262,1,93.08430146,22.84722147,-128.2883266,C:\Users\Documents\SDC-Scissors\tests\01239_test.json
85.46864948,386.9802029,8.197301877,266.0267086,-14.83209095,64.3334037,55.28288613,-4.152613966,40.43287448,-75.50751424,0,3,3,190.3022317,1,28.48324166,95.48490605,-103.8246367,C:\Users\Documents\SDC-Scissors\tests\01238_test.json
106.2225277,228.1205141,35.755156,61.5408267,-11.20183132,32.48894447,22.81205141,-0.284307711,33.40612621,-85.83520937,0,4,2,170.9389343,1,34.45293165,21.37670033,-112.0183132,C:\Users\Documents\SDC-Scissors\tests\01237_test.json
149.4927948,328.5402685,1.297089965,99.50981847,-18.91087829,36.13526735,54.75671142,-8.412156704,18.22611621,-79.31048596,0,3,3,180.2077244,0,30.21928411,44.57145767,-113.4652697,C:\Users\Documents\SDC-Scissors\tests\01236_test.json
126.6601741,236.8268568,315.9769396,52.10295459,38.94509646,21.34453509,21.52971425,0,30.18750442,-10.81215751,0,2,4,200.7496286,1,94.49850354,20.03875035,428.3960611,C:\Users\Documents\SDC-Scissors\tests\01235_test.json
154.692686,135.9146388,49.2960973,205.1753011,2.277571247,52.09802467,15.10162654,2.427979712,34.59107139,-36.04299973,0,3,3,170.5765773,1,22.61825594,65.13153153,20.49814122,C:\Users\Documents\SDC-Scissors\tests\01234_test.json
158.4603072,297.4825728,14.61657333,120.0720134,-11.50835721,55.12889385,33.0536192,-1.603431142,59.67683749,-91.64168077,0,4,3,210.4578366,1,32.35371349,50.23620681,-103.5752149,C:\Users\Documents\SDC-Scissors\tests\01233_test.json
135.3455194,443.2098756,72.23797819,60.07398138,5.020268306,19.40278976,55.40123445,2.924393775,14.32555158,-77.73111023,0,1,4,180.6152025,0,42.08466591,22.87049933,40.16214645,C:\Users\Documents\SDC-Scissors\tests\01232_test.json
77.09683516,72.96996084,43.80006602,87.27036318,7.511810259,29.18313667,6.633632803,3.985491731,31.51851712,-22.45927146,0,2,4,150.5907533,0,16.7672037,28.48484678,82.62991285,C:\Users\Documents\SDC-Scissors\tests\01231_test.json
84.3730098,328.1470411,92.53566808,64.56527229,-18.91103744,18.6899891,36.46078235,4.902175517,3.666337335,-320.2430768,0,1,4,170.7676813,0,117.0793835,23.60369478,-170.199337,C:\Users\Documents\SDC-Scissors\tests\01230_test.json
42.68098749,440.7078687,110.5451744,103.7724103,23.60745398,43.5041073,55.08848358,13.18906108,41.87768922,-1.890479574,0,0,1,160.6597096,0,35.58719131,29.44334842,188.8596319,C:\Users\Documents\SDC-Scissors\tests\01229_test.json
112.325107,177.1368544,8.968316748,130.3145546,-10.17678213,44.30229647,22.1421068,-7.587205737,44.93741685,-49.70295779,0,5,2,130.3298057,1,17.69588739,40.87841336,-81.41425704,C:\Users\Documents\SDC-Scissors\tests\01228_test.json
124.3015029,89.81978263,45.68277795,120.8277258,-2.579767615,42.38326618,8.165434784,-3.759842472,54.60956335,-20.71286545,0,5,4,180.4405567,1,18.37481181,40.0252083,-28.37744377,C:\Users\Documents\SDC-Scissors\tests\01227_test.json
157.5525791,84.31930159,30.63514444,260.0811657,7.127612163,63.02365251,10.5399127,5.380698139,35.18014254,-16.30291067,0,1,3,170.306231,0,16.30459867,89.13092424,57.0208973,C:\Users\Documents\SDC-Scissors\tests\01226_test.json
109.7407491,386.0218066,67.34017914,64.59505797,-4.083889506,35.47293858,55.14597238,4.743521024,33.01625513,-91.38943243,0,3,1,180.9120046,1,51.97680326,22.06440848,-28.58722654,C:\Users\Documents\SDC-Scissors\tests\01225_test.json
87.80764579,804.9148435,354.3551162,81.7810642,6.46052018,34.19931789,100.6143554,4.166024514,33.43274787,-255.4651666,0,3,1,220.8792089,1,168.5271108,28.92501885,51.68416144,C:\Users\Documents\SDC-Scissors\tests\01224_test.json
12.96297844,442.5496233,105.6313737,128.6313779,-43.757753,54.4010093,110.6374058,7.052095826,42.2960366,-294.7665773,4.380586114,2,0,140.852089,0,174.1344576,53.98414986,-175.031012,C:\Users\Documents\SDC-Scissors\tests\01223_test.json
116.784378,58.77494942,18.26401992,88.32131794,-4.571526294,36.99374926,6.530549936,-4.869235095,29.26202577,-40.2319973,0,4,2,140.6270502,1,18.41197398,30.8910087,-41.14373665,C:\Users\Documents\SDC-Scissors\tests\01222_test.json
154.6567144,82.30456779,17.72143192,201.9859737,-1.101626645,51.01026201,7.482233436,2.961921393,50.38388979,-42.07986941,0,2,4,180.4159404,0,17.168154,60.44060738,-12.11789309,C:\Users\Documents\SDC-Scissors\tests\01221_test.json
130.5472682,78.64500738,17.64540547,103.6880317,-2.907556246,39.35646378,8.738334153,-1.572369388,36.53832562,-21.62215837,0,4,2,150.4986986,1,15.68407538,32.15602352,-26.16800622,C:\Users\Documents\SDC-Scissors\tests\01220_test.json
84.81809837,204.2789368,58.5404784,94.88672907,-12.28458668,36.08018512,29.18270526,-18.83410109,28.70391289,-51.3320711,0,5,1,160.7263855,1,35.70042903,29.2513568,-85.99210677,C:\Users\Documents\SDC-Scissors\tests\01219_test.json
41.82915214,207.0855333,-0.350292861,77.92253007,-23.08040838,40.40442558,23.0095037,-11.49787325,36.15911232,-97.10121279,0,8,1,171.0914841,1,29.7839007,24.57117601,-207.7236754,C:\Users\Documents\SDC-Scissors\tests\01218_test.json
